paymentID,accountID,loanID,paymentDate,actualAmount,paymentHistoryCode,dueDate,totalPrincipal,scheduledAmount,transactionID,category,stage
45422765_052018,45422765_1497,45422765,01/05/2018,202699.21,45422765hist2017,15/05/2018,1060.44,1588.27,T45422765_052018,due,MortgageServicingStage
45422765_042021,45422765_1497,45422765,01/04/2021,163710.48,45422765hist2017,15/04/2021,1161.71,1588.27,T45422765_042021,due,MortgageServicingStage
45422765_042020,45422765_1497,45422765,01/04/2020,177532.26,45422765hist2017,15/04/2020,1125.80,1588.27,T45422765_042020,due,MortgageServicingStage
45422765_052019,45422765_1497,45422765,01/05/2019,189756.50,45422765hist2017,15/05/2019,1094.05,1588.27,T45422765_052019,due,MortgageServicingStage
45422765_052021,45422765_1497,45422765,01/05/2021,162545.75,45422765hist2017,15/05/2021,1164.73,1588.27,T45422765_052021,due,MortgageServicingStage
45422765_042018,45422765_1497,45422765,01/04/2018,203759.65,45422765hist2017,15/04/2018,1057.68,1588.27,T45422765_042018,due,MortgageServicingStage
45422765_042019,45422765_1497,45422765,01/04/2019,190850.55,45422765hist2017,15/04/2019,1091.21,1588.27,T45422765_042019,due,MortgageServicingStage
45422765_052020,45422765_1497,45422765,01/05/2020,176403.52,45422765hist2017,15/05/2020,1128.74,1588.27,T45422765_052020,due,MortgageServicingStage
45476383_012019,45476383_1497,45476383,01/01/2019,141828.20,45476383hist2017,15/01/2019,0.00,877.47,T45476383_012019,due,MortgageServicingStage
45476383_122019,45476383_1497,45476383,01/12/2019,140517.50,45476383hist2017,15/12/2019,0.00,877.47,T45476383_122019,missing,MortgageServicingStage
45476383_102020,45476383_1497,45476383,01/10/2020,140517.50,45476383hist2017,15/10/2020,0.00,877.47,T45476383_102020,missing,MortgageServicingStage
45476383_122020,45476383_1497,45476383,01/12/2020,140517.50,45476383hist2017,15/12/2020,0.00,877.47,T45476383_122020,missing,MortgageServicingStage
45476383_012018,45476383_1497,45476383,01/01/2018,140735.00,45476383hist2017,15/01/2018,0.00,877.47,T45476383_012018,missing,MortgageServicingStage
45476383_012020,45476383_1497,45476383,01/01/2020,140517.50,45476383hist2017,15/01/2020,0.00,877.47,T45476383_012020,missing,MortgageServicingStage
45476383_122018,45476383_1497,45476383,01/12/2018,141828.20,45476383hist2017,15/12/2018,0.00,877.47,T45476383_122018,due,MortgageServicingStage
45476383_102019,45476383_1497,45476383,01/10/2019,140782.92,45476383hist2017,15/10/2019,0.00,877.47,T45476383_102019,missing,MortgageServicingStage
45476383_102018,45476383_1497,45476383,01/10/2018,141957.03,45476383hist2017,15/10/2018,128.43,877.47,T45476383_102018,due,MortgageServicingStage
45476383_122017,45476383_1497,45476383,01/12/2017,140735.00,45476383hist2017,15/12/2017,0.00,877.47,T45476383_122017,due,MortgageServicingStage
